id:ID,:LABEL
cpxR,GEN
ada,GEN
appY,GEN
araC,GEN
arcA,GEN
argR,GEN
cadC,GEN
chbR,GEN
crp,GEN
cspA,GEN
cysB,GEN
dnaA,GEN
fis,GEN
flhC,GEN
flhD,GEN
fnr,GEN
fur,GEN
galR,GEN
galS,GEN
glpR,GEN
ihfA,GEN
ihfB,GEN
hipA,GEN
hns,GEN
hupA,GEN
hupB,GEN
argP,GEN
kdpE,GEN
lacI,GEN
leuO,GEN
lexA,GEN
lrp,GEN
malI,GEN
malT,GEN
mprA,GEN
nagC,GEN
narL,GEN
ompR,GEN
phoP,GEN
rbsR,GEN
rcsA,GEN
rcsB,GEN
rhaR,GEN
sdiA,GEN
soxS,GEN
tdcR,GEN
uhpA,GEN
nhaR,GEN
mraZ,GEN
mngR,GEN
xapR,GEN
creB,GEN
melR,GEN
nrdR,GEN
fliZ,GEN
rob,GEN
fabR,GEN
cynR,GEN
marA,GEN
marR,GEN
nikR,GEN
narP,GEN
gadE,GEN
evgA,GEN
basR,GEN
atoC,GEN
zur,GEN
zntR,GEN
mlrA,GEN
sgrR,GEN
lrhA,GEN
gatR_2,GEN
gadW,GEN
gadX,GEN
puuR,GEN
torR,GEN
gntR,GEN
exuR,GEN
dsdC,GEN
xylR,GEN
caiF,GEN
ecpR,GEN
rclR,GEN
cueR,GEN
allR,GEN
dpiA,GEN
dhaR,GEN
lsrR,GEN
rstA,GEN
uidR,GEN
slyA,GEN
cbl,GEN
nac,GEN
murR,GEN
hyfR,GEN
iscR,GEN
hcaR,GEN
yqhC,GEN
qseB,GEN
agaR,GEN
nanR,GEN
dcuR,GEN
ulaR,GEN
gatR_1,GEN
aroG,GEN
cheW,GEN
lpxD,GEN
hha,GEN
skp,GEN
degP,GEN
lpxA,GEN
motB,GEN
ompC,GEN
ppiA,GEN
rpoH,GEN
slt,GEN
tsr,GEN
dsbC,GEN
yccA,GEN
fabZ,GEN
dsbA,GEN
csgA,GEN
baeS,GEN
yidQ,GEN
yebE,GEN
rdoA,GEN
mdtD,GEN
tomB,GEN
ppiD,GEN
efeU_1,GEN
csgG,GEN
csgE,GEN
csgD,GEN
ycfS,GEN
spy,GEN
mdtC,GEN
ygaU,GEN
yqaE,GEN
yqjA,GEN
mzrA,GEN
cpxP,GEN
alkB,GEN
aidB,GEN
appA,GEN
hyaA,GEN
hyaB,GEN
hyaC,GEN
hyaD,GEN
appB,GEN
appC,GEN
araA,GEN
araB,GEN
araD,GEN
araE,GEN
araF,GEN
araH,GEN
xylB,GEN
cydC,GEN
ackA,GEN
puuC,GEN
cadA,GEN
cydA,GEN
cydB,GEN
fumC,GEN
glpA,GEN
glpC,GEN
glpD,GEN
ndh,GEN
oppA,GEN
pflB,GEN
sdhA,GEN
sdhB,GEN
sdhC,GEN
sdhD,GEN
sucA,GEN
sucB,GEN
sucC,GEN
sucD,GEN
focA,GEN
rhaT,GEN
cydD,GEN
caiB,GEN
ydeA,GEN
grcA,GEN
hybB,GEN
hybC,GEN
hybD,GEN
puuB,GEN
lldR,GEN
lldD,GEN
nuoG,GEN
nuoH,GEN
nuoJ,GEN
nuoN,GEN
gatD,GEN
prmC,GEN
caiE,GEN
dctA,GEN
glcB,GEN
gadA,GEN
fadH,GEN
ybdN,GEN
citG,GEN
citX,GEN
citF,GEN
citE,GEN
citD,GEN
citC,GEN
rutC,GEN
puuE,GEN
fadJ,GEN
glcA,GEN
glcD,GEN
hybO,GEN
hisM,GEN
argF,GEN
argG,GEN
gltD,GEN
rbfA,GEN
argH,GEN
gltF,GEN
artJ,GEN
astE,GEN
astB,GEN
astD,GEN
astA,GEN
astC,GEN
cadB,GEN
chbB,GEN
chbC,GEN
chbA,GEN
chbF,GEN
chbG,GEN
modB,GEN
aceE,GEN
aceF,GEN
agp,GEN
aldA,GEN
ampD,GEN
araJ,GEN
ascB,GEN
ascF,GEN
aspA,GEN
bglF,GEN
cdd,GEN
cirA,GEN
crr,GEN
cstA,GEN
cyoA,GEN
cyoB,GEN
cyoC,GEN
cyoD,GEN
cytR,GEN
deoA,GEN
deoB,GEN
deoC,GEN
deoD,GEN
dksA,GEN
dsdA,GEN
ebgC,GEN
entB,GEN
entC,GEN
entE,GEN
envZ,GEN
fadL,GEN
fbaA,GEN
fecA,GEN
fepA,GEN
fucA,GEN
fucK,GEN
fucU,GEN
fumA,GEN
gabT,GEN
galE,GEN
galK,GEN
galT,GEN
gapA,GEN
epd,GEN
gcvH,GEN
glgA,GEN
glgC,GEN
glgP,GEN
glnA,GEN
glnG,GEN
glnL,GEN
glpE,GEN
glpF,GEN
glpG,GEN
glpQ,GEN
glpT,GEN
gltA,GEN
grpE,GEN
guaA,GEN
guaB,GEN
gyrA,GEN
ilvB,GEN
ilvN,GEN
rpoS,GEN
lacA,GEN
lacY,GEN
lacZ,GEN
lpd,GEN
malF,GEN
malG,GEN
malM,GEN
malX,GEN
manA,GEN
manX,GEN
manY,GEN
mazE,GEN
mdh,GEN
melA,GEN
melB,GEN
metK,GEN
mglA,GEN
mglB,GEN
mtlA,GEN
mtlD,GEN
nagA,GEN
nagB,GEN
umpH,GEN
nagE,GEN
nanA,GEN
nirB,GEN
nirC,GEN
nirD,GEN
nmpC,GEN
nrdB,GEN
nupG,GEN
ompA,GEN
ompF,GEN
pck,GEN
pgk,GEN
priB,GEN
ptsG,GEN
ptsH,GEN
ptsI,GEN
rbsB,GEN
rbsC,GEN
rbsD,GEN
rpsF,GEN
rpsR,GEN
serA,GEN
sfsA,GEN
sodA,GEN
sohB,GEN
srlB,GEN
srlD,GEN
tnaB,GEN
trg,GEN
tsx,GEN
udp,GEN
ugpA,GEN
ugpB,GEN
ugpQ,GEN
uhpT,GEN
xseA,GEN
xylA,GEN
cspD,GEN
raiA,GEN
yhfA,GEN
mazF,GEN
ivbL,GEN
tnaC,GEN
preA,GEN
dusB,GEN
acnA,GEN
gabD,GEN
gabP,GEN
glgS,GEN
treC,GEN
dadA,GEN
dadX,GEN
gcvT,GEN
acs,GEN
glpX,GEN
fadD,GEN
ychH,GEN
fixB,GEN
proP,GEN
galM,GEN
hofC,GEN
sbmC,GEN
actP,GEN
yjcH,GEN
mtlR,GEN
nupC,GEN
yeiP,GEN
treB,GEN
cspE,GEN
xylG,GEN
yiaJ,GEN
yiaK,GEN
yiaL,GEN
yiaM,GEN
yiaN,GEN
yiaO,GEN
lyxK,GEN
sgbH,GEN
sgbU,GEN
sgbE,GEN
aldB,GEN
acnB,GEN
gntT,GEN
lhgO,GEN
gatA,GEN
gatB,GEN
gatC,GEN
gatY,GEN
modA,GEN
mpl,GEN
ulaC,GEN
idnT,GEN
exuT,GEN
agaA,GEN
hpt,GEN
xylF,GEN
rmf,GEN
prpB,GEN
prpC,GEN
prpE,GEN
mhpE,GEN
dpiB,GEN
ybfN,GEN
fiu,GEN
ycdZ,GEN
csgF,GEN
hlyE,GEN
paaB,GEN
paaC,GEN
paaD,GEN
paaG,GEN
paaJ,GEN
paaK,GEN
lsrC,GEN
lsrB,GEN
lsrG,GEN
tam,GEN
gatZ,GEN
preT,GEN
murQ,GEN
hyfC,GEN
hyfH,GEN
hyfI,GEN
hyfJ,GEN
csiE,GEN
pka,GEN
csiD,GEN
casE,GEN
casD,GEN
casC,GEN
aer,GEN
tdcE,GEN
nanE,GEN
aaeB,GEN
aaeX,GEN
hofP,GEN
gntX,GEN
nfuA,GEN
ulaE,GEN
idnO,GEN
idnD,GEN
nanM,GEN
yjiY,GEN
uxaC,GEN
srlA,GEN
mhpA,GEN
mhpC,GEN
mhpD,GEN
mhpF,GEN
cysA,GEN
cysD,GEN
cysH,GEN
cysI,GEN
cysJ,GEN
cysK,GEN
cysN,GEN
cysP,GEN
cysU,GEN
cysW,GEN
ssuB,GEN
tauB,GEN
tauC,GEN
ssuC,GEN
ssuD,GEN
ssuE,GEN
dnaN,GEN
nrdA,GEN
polA,GEN
recF,GEN
yfaE,GEN
adhE,GEN
ansB,GEN
apaG,GEN
apaH,GEN
bglB,GEN
bglG,GEN
carA,GEN
carB,GEN
dmsA,GEN
dmsB,GEN
fadA,GEN
fadB,GEN
fumB,GEN
hyaE,GEN
hyaF,GEN
infB,GEN
rsmA,GEN
mazG,GEN
mglC,GEN
narG,GEN
narH,GEN
narI,GEN
narJ,GEN
narK,GEN
nusA,GEN
pnp,GEN
queA,GEN
rpsO,GEN
topA,GEN
trmA,GEN
tufB,GEN
fau,GEN
truB,GEN
rimP,GEN
sra,GEN
nuoM,GEN
nuoF,GEN
nrfB,GEN
nrfC,GEN
nrfE,GEN
nrfF,GEN
nrfG,GEN
nuoA,GEN
nuoB,GEN
nuoC,GEN
nuoE,GEN
nuoI,GEN
nuoK,GEN
nuoL,GEN
xylH,GEN
alaT,GEN
alaW,GEN
argU,GEN
aspV,GEN
glnU,GEN
glnV,GEN
gltT,GEN
gltU,GEN
glyT,GEN
hisR,GEN
ileT,GEN
leuP,GEN
leuQ,GEN
leuT,GEN
leuV,GEN
leuX,GEN
lysW,GEN
metT,GEN
metU,GEN
metY,GEN
proK,GEN
rnpB,GEN
rrfA,GEN
rrfC,GEN
rrfD,GEN
rrfE,GEN
rrfG,GEN
rrfH,GEN
rrlA,GEN
rrlC,GEN
rrlD,GEN
rrlE,GEN
rrlG,GEN
rrlH,GEN
rrsA,GEN
rrsC,GEN
rrsD,GEN
rrsG,GEN
rrfF,GEN
ssrS,GEN
thrT,GEN
thrU,GEN
thrV,GEN
tyrT,GEN
tyrU,GEN
valY,GEN
nanT,GEN
yoaG,GEN
yeaR,GEN
glcC,GEN
patA,GEN
nanK,GEN
recC,GEN
fliD,GEN
ygdB,GEN
ppdB,GEN
fliO,GEN
fliF,GEN
fliA,GEN
hydN,GEN
fliG,GEN
fliH,GEN
nrfA,GEN
nrfD,GEN
ccmB,GEN
napC,GEN
napH,GEN
napG,GEN
napD,GEN
gltJ,GEN
gltL,GEN
flgA,GEN
flgD,GEN
flgJ,GEN
flgM,GEN
gltI,GEN
flgN,GEN
ycgR,GEN
fliY,GEN
aspC,GEN
cheR,GEN
moeB,GEN
cysG,GEN
dmsC,GEN
fepE,GEN
fes,GEN
frdA,GEN
frdB,GEN
frdC,GEN
frdD,GEN
gdhA,GEN
hemA,GEN
hypD,GEN
hypE,GEN
katG,GEN
malQ,GEN
narX,GEN
pstS,GEN
prfA,GEN
pstA,GEN
pstB,GEN
pstC,GEN
purM,GEN
rplB,GEN
rplC,GEN
rplD,GEN
rplP,GEN
rplV,GEN
rplW,GEN
rpmC,GEN
rpsC,GEN
rpsJ,GEN
rpsQ,GEN
rpsS,GEN
soxR,GEN
pdhR,GEN
ompW,GEN
hyfA,GEN
garK,GEN
garR,GEN
fdnG,GEN
fdnH,GEN
hyfB,GEN
upp,GEN
glnD,GEN
nrdD,GEN
pepT,GEN
moaB,GEN
moaD,GEN
moaE,GEN
ydeJ,GEN
amtB,GEN
yeiL,GEN
nikE,GEN
feoA,GEN
glnK,GEN
pitA,GEN
ychO,GEN
norW,GEN
dppB,GEN
emrY,GEN
ssuA,GEN
ynfH,GEN
ydhW,GEN
ydhY,GEN
emrK,GEN
hyfD,GEN
hyfE,GEN
hyfF,GEN
hyfG,GEN
focB,GEN
yfgF,GEN
norV,GEN
dcuS,GEN
ytfE,GEN
iraD,GEN
nrdG,GEN
garL,GEN
entA,GEN
entD,GEN
entF,GEN
fecB,GEN
fecC,GEN
fecD,GEN
fecE,GEN
fecR,GEN
fepB,GEN
fepC,GEN
fepD,GEN
fepG,GEN
fhuE,GEN
katE,GEN
metH,GEN
metJ,GEN
purR,GEN
ftnA,GEN
tonB,GEN
entS,GEN
entH,GEN
feoB,GEN
garP,GEN
feoC,GEN
nrdE,GEN
mntP,GEN
rcnA,GEN
rcnB,GEN
gspD,GEN
gspG,GEN
gspH,GEN
gspI,GEN
gspJ,GEN
gspK,GEN
yhhY,GEN
galP,GEN
glpK,GEN
aceA,GEN
aceB,GEN
aceK,GEN
dppA,GEN
fimA,GEN
fimC,GEN
fimF,GEN
fimH,GEN
gcd,GEN
glnH,GEN
glnP,GEN
glnQ,GEN
hycB,GEN
hycC,GEN
hycE,GEN
hycG,GEN
ilvA,GEN
ilvD,GEN
ilvE,GEN
ilvM,GEN
pspA,GEN
pspB,GEN
pspC,GEN
pspD,GEN
pspE,GEN
ilvL,GEN
sufA,GEN
uspA,GEN
dps,GEN
ibpB,GEN
atoA,GEN
atoE,GEN
atoB,GEN
pspG,GEN
htrE,GEN
fimI,GEN
hemF,GEN
ulaB,GEN
dppC,GEN
dppD,GEN
dppF,GEN
glcF,GEN
sufE,GEN
sufS,GEN
sufD,GEN
sufC,GEN
sufB,GEN
hycI,GEN
glcG,GEN
ulaA,GEN
ulaD,GEN
ulaF,GEN
ilvG_1,GEN
relA,GEN
acrE,GEN
acrF,GEN
fimB,GEN
fliC,GEN
hisP,GEN
ilvH,GEN
ilvI,GEN
mukB,GEN
proW,GEN
proX,GEN
mukE,GEN
gspB,GEN
adiA,GEN
caiD,GEN
caiC,GEN
caiA,GEN
caiT,GEN
adeD,GEN
adiY,GEN
hisJ,GEN
hisQ,GEN
mukF,GEN
smtA,GEN
ydeO,GEN
bglJ,GEN
pgm,GEN
dapB,GEN
lysP,GEN
kdpC,GEN
leuA,GEN
leuD,GEN
leuC,GEN
leuB,GEN
cas2,GEN
dsrA,GEN
cas1,GEN
casB,GEN
casA,GEN
yjjQ,GEN
ftsZ,GEN
murC,GEN
phr,GEN
polB,GEN
recA,GEN
recN,GEN
umuC,GEN
uvrD,GEN
dinF,GEN
ybfE,GEN
recX,GEN
dinB,GEN
dinI,GEN
ydjM,GEN
symE,GEN
ruvB,GEN
aroA,GEN
avtA,GEN
fimE,GEN
kbl,GEN
livF,GEN
livG,GEN
livK,GEN
livM,GEN
osmC,GEN
serC,GEN
tdh,GEN
malY,GEN
malZ,GEN
emrA,GEN
emrB,GEN
creD,GEN
glmS,GEN
manZ,GEN
creC,GEN
glmU,GEN
chiP,GEN
nanS,GEN
nanC,GEN
dcuB,GEN
fdhF,GEN
ogt,GEN
dcuA,GEN
torC,GEN
ccmH,GEN
ccmG,GEN
ccmF,GEN
ccmE,GEN
ccmC,GEN
ccmA,GEN
napB,GEN
napA,GEN
nikA,GEN
nikB,GEN
nikC,GEN
nikD,GEN
ccmD,GEN
ynfE,GEN
ynfF,GEN
ynfG,GEN
ydhT,GEN
ydhU,GEN
ydhX,GEN
ydhV,GEN
glgB,GEN
glgX,GEN
ompT,GEN
phoQ,GEN
purD,GEN
purH,GEN
tolC,GEN
ygiB,GEN
rstB,GEN
hdeA,GEN
hdeB,GEN
yhiD,GEN
hdeD,GEN
mgtA,GEN
borD,GEN
ybjG,GEN
slyB,GEN
yrbL,GEN
dcuD,GEN
add,GEN
rbsA,GEN
rbsK,GEN
ftsA,GEN
osmB,GEN
gadB,GEN
rarA,GEN
lolA,GEN
bdm,GEN
gadC,GEN
ydeP,GEN
aslB,GEN
sfsB,GEN
yidL,GEN
dctR,GEN
slp,GEN
adiC,GEN
ykiA,GEN
yqhG,GEN
ygiZ,GEN
yhiM,GEN
ftsQ,GEN
fldA,GEN
fpr,GEN
pgi,GEN
poxB,GEN
zwf,GEN
nfsA,GEN
inaA,GEN
waaY,GEN
acrA,GEN
acrB,GEN
fldB,GEN
ybjC,GEN
nfsB,GEN
acrZ,GEN
pqiB,GEN
ompN,GEN
ydbK,GEN
nhaA,GEN
pgaB,GEN
mngA,GEN
mngB,GEN
xapB,GEN
talA,GEN
ybiS,GEN
fabA,GEN
cynT,GEN
purA,GEN
yncE,GEN
marB,GEN
gnd,GEN
mdtE,GEN
mdtF,GEN
evgS,GEN
yfdE,GEN
frc,GEN
yfdX,GEN
dgkA,GEN
putA,GEN
cspI,GEN
zinT,GEN
zntA,GEN
rplU,GEN
rpmA,GEN
ibaG,GEN
thiQ,GEN
tbpA,GEN
alaC,GEN
btuB,GEN
lon,GEN
uspE,GEN
ybaS,GEN
ybaT,GEN
torA,GEN
torD,GEN
eda,GEN
gntK,GEN
gntU,GEN
idnR,GEN
uxaB,GEN
uxuA,GEN
uxaA,GEN
uxuB,GEN
uxuR,GEN
rclC,GEN
rclB,GEN
moaA,GEN
cueO,GEN
copA,GEN
allS,GEN
glxR,GEN
ybbW,GEN
ybbY,GEN
dhaM,GEN
dhaL,GEN
dhaK,GEN
lsrK,GEN
lsrA,GEN
lsrD,GEN
lsrF,GEN
asr,GEN
uidA,GEN
uidB,GEN
uidC,GEN
asnC,GEN
mnmG,GEN
codA,GEN
codB,GEN
ydcS,GEN
ydcT,GEN
patD,GEN
nrdF,GEN
ydiU,GEN
nrdH,GEN
nrdI,GEN
hcaC,GEN
hcaE,GEN
hcaF,GEN
yqhD,GEN
dkgA,GEN
kbaY,GEN
agaB,GEN
agaC,GEN
kbaZ,GEN
agaV,GEN
agaW,GEN
agaS,GEN
agaD,GEN
yjhC,GEN
